,HGT,HGT,HGT,HLT,HLT,HLT,HIC,HIC,HIC,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_glenohumeral_0,operator_0_glenohumeral_0,operator_0_glenohumeral_0,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.03573004029811755,-0.06684304233014461,0.13201611107311548,-0.007193664969669666,-0.07387575337800387,0.11346792940658743,-0.02449976339226001,-0.051991323890885,0.08443316771313256,0.014350982310417981,0.013952539325273433,0.10837379708256317,-0.01871380935500344,-0.07646285623541452,0.11875368749498771,-0.027451464144041426,-0.08003538953028472,0.12284300307019379,-0.030792739272655023,-0.08345971041772404,0.11511901574349859,humerus,9
1,-0.035402221305691484,-0.0668307237846233,0.13198177523657426,-0.007271426042946283,-0.0738728416604045,0.11345358331096726,-0.02447208506827525,-0.05200846779275067,0.08438956340442583,0.013818208097606366,0.014023420761008834,0.10866603515692339,-0.017978827915822393,-0.07640112215571414,0.11858236687758772,-0.027184816849664895,-0.08024419140744377,0.12304218241347571,-0.03101773025964727,-0.08332315649558805,0.11505438532309753,humerus,9
2,-0.035662348856052906,-0.06686253222822532,0.13203983729957375,-0.006974992727703078,-0.07385725358558581,0.11340620243499004,-0.02449352206800448,-0.052009954635730035,0.08448941820886507,0.013773845649336924,0.013723048323396159,0.10948178882487189,-0.01947082506845821,-0.07646348447636397,0.11894582407176968,-0.02633466080493574,-0.08127759319099256,0.12293170414372188,-0.03128151072057073,-0.08336386763714959,0.11508181362547451,humerus,9
3,-0.03567120206398977,-0.06685981044250926,0.132023800098215,-0.006954325269509454,-0.07383554674877377,0.11343660062899463,-0.024507287631809982,-0.052031264389103396,0.08440732203160367,0.01406933651639164,0.01357932468875954,0.11083272838549962,-0.01922363871979116,-0.07577948294259176,0.1189931543305707,-0.026710303995912232,-0.08145022251336245,0.12193404715930177,-0.03127024141134971,-0.08342260214847264,0.11533940458821007,humerus,9
4,-0.03562789690029622,-0.06690078512850492,0.13191140123145273,-0.007196368535311248,-0.07388568912137167,0.11341101290205635,-0.024843611659386422,-0.051912739281924136,0.0844129786498436,0.01384208044037516,0.01342251844937467,0.11217732076618964,-0.020464519771944856,-0.07530580663631983,0.11976895410345212,-0.028730106535563515,-0.08043198229623427,0.121085404034577,-0.03216872367744805,-0.08308465424052425,0.11568056799159987,humerus,9
5,-0.035674118599186344,-0.06688357608410435,0.13195622117327283,-0.006672822658284616,-0.07383324307390582,0.11344416539110715,-0.024824335050696478,-0.05193995851250423,0.08451195196069067,0.014079240593806164,0.013379478458414598,0.11317729365570786,-0.019752758170749396,-0.07567063819568914,0.12161586658107848,-0.030398607561894497,-0.08015149728280582,0.12006871438508598,-0.03337859263790588,-0.08266579730811019,0.11577129474223513,humerus,9
6,-0.03563451924527927,-0.06682923711800831,0.13199333464346635,-0.006917154117345725,-0.07387961933496562,0.11337718518844074,-0.02484906518883534,-0.05196689355876119,0.08441080031406101,0.013403430435113717,0.013342484863427734,0.11430523934142134,-0.01939823321208889,-0.07499359519292065,0.12089618379683689,-0.03214724389332957,-0.07978994148390378,0.11961576863486947,-0.033837659127637476,-0.08237440614251779,0.11629167743602381,humerus,9
7,-0.03589185921658178,-0.06684491144944453,0.13202984215944188,-0.007316303041359107,-0.0739308513459846,0.11336046380656124,-0.02502079502857435,-0.05187821480508435,0.08444194912386621,0.013273821289084275,0.013259625717562035,0.11520463957373503,-0.018901255612217116,-0.07399469559796104,0.11922302121372716,-0.03385811895964075,-0.0795299011731877,0.11941523970352559,-0.03454377958757793,-0.08189876295229526,0.11691358151253045,humerus,9
8,-0.03596240377427895,-0.06688203774200113,0.1320591579068103,-0.007257985018603752,-0.07392416380245326,0.1133207050712319,-0.02492754627815741,-0.051876105189757174,0.08433968092750319,0.012883452810908524,0.01327360723143986,0.1160463623682148,-0.01707474391019692,-0.0739020337510031,0.11908850053545844,-0.03333506662187913,-0.07889773776901074,0.12071264268508605,-0.03552427369847777,-0.08141440996179922,0.11737174541520637,humerus,9
