,SIA,SIA,SIA,SRS,SRS,SRS,SSA,SSA,SSA,SAA,SAA,SAA,SAT,SAT,SAT,SAE,SAE,SAE,SAJ,SAJ,SAJ,SCT,SCT,SCT,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_glenohumeral_0,operator_0_glenohumeral_0,operator_0_glenohumeral_0,operator_0_glenohumeral_1,operator_0_glenohumeral_1,operator_0_glenohumeral_1,operator_0_glenohumeral_2,operator_0_glenohumeral_2,operator_0_glenohumeral_2,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_1_glenohumeral_0,operator_1_glenohumeral_0,operator_1_glenohumeral_0,operator_1_glenohumeral_1,operator_1_glenohumeral_1,operator_1_glenohumeral_1,operator_1_glenohumeral_2,operator_1_glenohumeral_2,operator_1_glenohumeral_2,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_Glene_0,operator_1_Glene_0,operator_1_Glene_0,operator_2_glenohumeral_0,operator_2_glenohumeral_0,operator_2_glenohumeral_0,operator_2_glenohumeral_1,operator_2_glenohumeral_1,operator_2_glenohumeral_1,operator_2_glenohumeral_2,operator_2_glenohumeral_2,operator_2_glenohumeral_2,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.016407421343554884,-0.12133350972845458,0.04574211285577645,0.042194275528062375,-0.04121851142391908,0.10058217315596199,0.03561319057534787,-0.024980622478788406,0.1450406618989345,-0.0362417017466006,0.031066555378662764,0.09560607233566826,-0.04911861797358924,0.03181388799088192,0.127609027077939,-0.04643075018883372,0.036689545815045244,0.11149382486433562,-0.02973730872463562,0.0344105022833171,0.12401986205488519,-0.0506906002966111,-0.008791461737368778,0.1450209192938442,0.008167667244673993,-0.006123169467059708,0.1012884906809606,-0.027141640819556945,0.002945677223944565,0.1284154429907413,0.012655245375197577,-0.003217282315787745,0.10848588431580894,-0.034994930625901546,-0.0011819752196212674,0.10874852947624622,-0.03723765625853609,-0.002881541665334608,0.10560720474787669,-0.03818928166943791,-0.004907695393619349,0.10487585881234099,-0.027838392933931755,0.03037188170299171,0.12375122945558337,-0.028844636056279294,0.03101495306609453,0.1252224647531564,-0.027573478837234267,0.03061302945705474,0.12316990823142374,-0.03996309936709552,-0.008319116350041678,0.10350687313681795,-0.04079008815813501,-0.009054982229137032,0.10306070125504907,-0.037601428645095414,-0.004319503822025728,0.1049352008150273,-0.024240906363790768,0.02418126464071002,0.11766052184669218,-0.031291802908005595,0.030858766539947013,0.12761201151350332,-0.025263382154303404,0.028929814983894242,0.12077607651138811,-0.03295148217103988,0.0034900574455447586,0.11639840005945384,-0.04635134896476634,-0.015330422523214038,0.10743690343686718,-0.04772333740386059,-0.017386851680840587,0.10861626478581854,-0.045599399462098233,-0.016323114039846154,0.10742418684078031,-0.027287233859698334,0.03143609807026626,0.12367444207924036,-0.028447692467921226,0.03124746256835187,0.12406599903784733,-0.02249551686193052,0.027320717522640425,0.1175040613495164,scapula,4
1,-0.016064117654638554,-0.1220886818466348,0.045562562023267195,0.04216860507849235,-0.04135124699631254,0.10058589056408612,0.03566924402123692,-0.025072221456395982,0.14503340659405906,-0.03637822326896509,0.0311672979835399,0.09571354290782969,-0.04927191759071625,0.03182044162250697,0.12743492114790633,-0.046503610834423725,0.036526175831894214,0.11167283777667872,-0.0296301130350404,0.0341361279339768,0.12401895856032635,-0.050623403361198416,-0.009113695730069593,0.1449905911511892,0.007912404440652998,-0.006093364899987186,0.10132586305125717,-0.028719133823938647,0.0025984297164515224,0.1283862022357839,0.012231585773015308,-0.0037306104858041977,0.10806453672224092,-0.03487604143425356,-0.001671753141032184,0.10889600258918601,-0.03728945200863995,-0.003575938258231659,0.10552061510219557,-0.03818928166943791,-0.004907695393619349,0.10487585881234099,-0.027838392933931755,0.03037188170299171,0.12375122945558337,-0.02846694019915763,0.030783182771789708,0.12489819186774204,-0.027573478837234267,0.03061302945705474,0.12316990823142374,-0.04025952878811634,-0.008506228995333265,0.10339587734741315,-0.0406469883502526,-0.008741706922395176,0.10319406978707116,-0.03677812217094423,-0.0031435800001670122,0.10551595534990904,-0.023527585326460848,0.024126999155263174,0.11741486285525576,-0.032482416276580606,0.030865481014596186,0.1285251943107807,-0.02607110721614414,0.02931272877616109,0.12167874342330326,-0.033281727569661634,0.003032548122552603,0.11804790389736429,-0.04709062607330616,-0.015993071741703113,0.10670836645490572,-0.04773911364386618,-0.017347775806165477,0.10846415954930866,-0.045514754556852055,-0.016300781569930367,0.10743472243274887,-0.0275629737733325,0.03125306593955979,0.12394300913971307,-0.028447692467921226,0.03124746256835187,0.12406599903784733,-0.02249551686193052,0.027320717522640425,0.1175040613495164,scapula,4
2,-0.016137042124289347,-0.12211821040248261,0.045647232675065236,0.042100152180065964,-0.040912536908013775,0.10071287624697414,0.03553397595704402,-0.02479227060914535,0.14503533257828147,-0.03629252858393722,0.030954925082210316,0.09565025679206063,-0.04908266808456954,0.031701271085689764,0.12760391475738442,-0.04703675436772303,0.03624002559983652,0.1127651712043819,-0.029629361841276458,0.03411666636338084,0.12404239754671006,-0.05064990418526272,-0.008936409305345228,0.14500982634810283,0.006869831755834888,-0.008290739390550694,0.10193527794682919,-0.02963553566880489,0.0026379220896333155,0.12865868205796271,0.01012916793956209,-0.005570020905225542,0.10670729342010554,-0.03462716082488518,-0.0007883199402209939,0.10956395688698489,-0.03717708915318639,-0.0032136795454006384,0.10559100327628221,-0.038165983365735484,-0.004683500353603431,0.10488072294553358,-0.028071386202248805,0.03056831824576417,0.12399525761535585,-0.029097049171844525,0.031113345309992158,0.12533145811053137,-0.027593307314120907,0.03042240327642215,0.12290322806805229,-0.03964836126829108,-0.007458723616171836,0.10358979870959784,-0.039485608484632784,-0.007253126696531442,0.10311736502026247,-0.03611955380388787,-0.002307177646913683,0.1061746485461964,-0.024480143104320035,0.025982073666953598,0.11885104058004775,-0.03328801205559523,0.030289904435330306,0.1293571980827386,-0.02672965030415156,0.030050714503390585,0.12202992553938469,-0.03411229002182148,0.0014089505594812035,0.11914289186566678,-0.04676140532749218,-0.015793625166321323,0.10675383270780214,-0.04730693139649733,-0.01698372143095661,0.10876335727513603,-0.04540782981298508,-0.016392724051728147,0.10728792371470014,-0.027863640434195536,0.03107010403015187,0.12429624384523597,-0.028343717178412775,0.03161560063434665,0.12403730875883943,-0.022913408649836264,0.027528235503312737,0.11775660439478912,scapula,4
3,-0.01606080245146843,-0.1223296767538008,0.04572888039728035,0.042145511148688364,-0.0412442100204905,0.10067061266651814,0.035463267408520266,-0.024540084987016764,0.1451400769983376,-0.036250874531780386,0.03156334552474749,0.09568386112101152,-0.04904150833815357,0.031700263723598576,0.12758453491454932,-0.0466145813024168,0.03705204490114167,0.11161465853591768,-0.029528937168613795,0.03377957554283517,0.124066270253931,-0.05068346537425289,-0.00892439129701117,0.1450057971532799,0.005002759812464785,-0.011887937857288533,0.10329940971509262,-0.030133394491717147,0.0021934837403592145,0.12865785546428166,0.01002960061221203,-0.007124040289968631,0.1061258721001522,-0.03434885296012524,-1.3356265715747107e-05,0.11029073736719013,-0.0369029678100571,-0.0026378694169409966,0.10588689906023444,-0.03810086502418027,-0.0043485410231098864,0.1049559347432453,-0.027909427749162052,0.030234952212589206,0.1234906265721108,-0.028771569833725974,0.030555674747787864,0.12450387518935485,-0.026619269729719508,0.030035157047234973,0.12212240410641187,-0.039406826591666055,-0.007030257517411154,0.1040979232408589,-0.03824426490221,-0.005607509329551452,0.10387113734964365,-0.035261346620002465,-0.0010307952818777721,0.10751060897141188,-0.024456272956798114,0.025796587414992023,0.11885734185352928,-0.034846662431349124,0.029666406501785758,0.13001034194379363,-0.027288607120992014,0.029528260980968835,0.12256835369192717,-0.034946493852355986,-0.00024191711376597702,0.12028508691225569,-0.046569317151641365,-0.015862909218769594,0.10606584889147797,-0.047503850636129274,-0.017211100249137246,0.10783821520957648,-0.045052548977487006,-0.01523266475201629,0.10667943692317527,-0.028346374907528338,0.03169808919976036,0.12499574914563766,-0.02868007994096,0.03170346395089285,0.1245148885339763,-0.02364548680152012,0.0286905891878263,0.11878237516596592,scapula,4
4,-0.016006711587452288,-0.12169714444731616,0.04600632251025047,0.04202526707200219,-0.040861905451075486,0.10080309414809652,0.03548040512343181,-0.02460028474819287,0.14511672798248515,-0.03646845208971605,0.03175396319244139,0.09574800657328775,-0.049117776510338246,0.03168384529620405,0.1276003682039007,-0.046359094978056625,0.036102299456225784,0.1113966135016381,-0.029763218290407956,0.03427416990577736,0.12432172654986673,-0.050613420989804536,-0.00913438402797484,0.14499077729629495,0.004575578948514569,-0.013651340887951335,0.10390265787370842,-0.030699535506038322,-0.00010544458305505877,0.12827430769732873,0.007860949725068789,-0.009877168697304428,0.10546719462044268,-0.0339436877759957,0.002880646847343127,0.11086438763581084,-0.03636569020824104,-0.0015370791824893537,0.1066225606525261,-0.038008948777564645,-0.004071397712283487,0.10508522473087326,-0.028525015571317147,0.03052815797575853,0.1237262212017331,-0.028163322243182964,0.030607631807727964,0.12358407753625142,-0.02586939757259754,0.029205778039391117,0.1212803178922347,-0.03881790527812934,-0.006420028511748055,0.1045112733813606,-0.037760797893576226,-0.005041372762030427,0.10425074176958371,-0.03424172477622234,0.00029673207221136977,0.10871284118484945,-0.024911257278066645,0.02721300273980576,0.11963398613892515,-0.035094418646847314,0.029622663447293807,0.13009328835969128,-0.027752834934119563,0.02990659137605367,0.12320414235061167,-0.03566489533364109,-0.0021793319804410682,0.12323246853802035,-0.0460228863505181,-0.01511379939013724,0.1055817979195931,-0.0471477027335937,-0.016254983030728865,0.10609958473326286,-0.044850108756997464,-0.014143611149850022,0.10522862272973565,-0.030911972847335267,0.031545535317551776,0.12742646759942733,-0.029994508637982475,0.030807702962976524,0.12642589011475475,-0.02418187862535226,0.02894934670751892,0.11998927625988463,scapula,4
5,-0.016160636111180404,-0.12173477802339949,0.04602900135502397,0.0420224546337612,-0.040775395996967334,0.10081387328810984,0.035735823254714305,-0.025322000783850607,0.1450330107553923,-0.03626875523928358,0.03101342698779408,0.09568005794336396,-0.049084123733826784,0.03181398059693907,0.12759955435149148,-0.04641291399277478,0.03670196926668745,0.11152669175589949,-0.029837828733256244,0.03445845094402522,0.12429867256010124,-0.05063331645915625,-0.009060653187531797,0.14501338535241962,0.005904339529395064,-0.013266349792973309,0.10374017729950255,-0.030443297420701454,-0.0007776694498248249,0.12856217463093544,0.005768345097074912,-0.012453965513411491,0.10618378041479187,-0.033944756137601687,0.001853444666638393,0.1117585024277358,-0.035622481111352564,-0.00010477846020306991,0.10794556988721912,-0.03763559907649168,-0.0033288813103017345,0.10544523962746505,-0.02778585613231155,0.030019042777129024,0.12293425468014085,-0.02693366538282027,0.02939213733283591,0.12219111945234923,-0.02413335031770314,0.027998715525032858,0.11952775359845799,-0.03743404220069224,-0.004562831934868172,0.10488262618507538,-0.036937864191442515,-0.004044281659949411,0.10481782838776915,-0.03326193861946303,0.0016768827724964463,0.11006696577916203,-0.025380719434256904,0.027841764380012513,0.12016065391535555,-0.03585832216950219,0.027597471238665405,0.12972682223139007,-0.027775765540386993,0.030383047861727963,0.12418254282281704,-0.03586813251571752,-0.0027184886640050365,0.1235793216780789,-0.04492902631504869,-0.013826990003758532,0.10433391090196131,-0.0462233904383994,-0.015423914974520059,0.10679379151322616,-0.043401198736306656,-0.011966614465521441,0.1029978058456037,-0.031315844433272955,0.03139214020694858,0.1274936161451249,-0.030776883997908233,0.03128233859858376,0.12665843753152226,-0.025136502770655378,0.02919633040660885,0.12030340352251355,scapula,4
6,-0.016121713224956036,-0.12195123494912607,0.045888615475776995,0.042105981685867294,-0.04094816211222785,0.10074541011777619,0.03566119996787609,-0.025015840221888186,0.14518039342042388,-0.03644861467699076,0.03147672793453238,0.09580162493415997,-0.049027869525292866,0.03168652530113203,0.12765302067223724,-0.046406186595025184,0.036591001546939395,0.11142198128279143,-0.029689315228289076,0.03410126666370372,0.12440842800501858,-0.050682405559007326,-0.008829673706945873,0.1450250909597923,0.00729152379765019,-0.014878659672958816,0.10412681892365719,-0.029580058924577768,-0.0021773989553830475,0.12924520375029708,0.004683614183267015,-0.01548547579968973,0.106953585419401,-0.03360780396009473,0.0019364451536636462,0.11283866932545907,-0.03469768333162186,0.0009999848777774156,0.10968489368275902,-0.03703200588918962,-0.0029178752298089083,0.10599522641984849,-0.026607451691529227,0.029661296521870884,0.1221006294483788,-0.026099281022604504,0.028854426736337258,0.12118197501552885,-0.022931844318530015,0.02677377510762735,0.11856927117483529,-0.03700015545420032,-0.003864110979749147,0.10508876411549878,-0.03603204695484519,-0.0026020531477461972,0.10625339078803911,-0.032805196205189735,0.002453428840658578,0.11172450136742332,-0.026351450514706193,0.028041645245604263,0.12094651937086132,-0.03635349182773093,0.02702180334331905,0.12965634087752947,-0.028557256955526883,0.030965357654313186,0.12515946334089545,-0.03668257290570481,-0.0038694360237930825,0.12387218433500082,-0.04465344292965834,-0.013484922698173307,0.10390469293276616,-0.04545199399598476,-0.014533944372476182,0.10570387534428616,-0.043256403755737916,-0.011558637367331481,0.10302900103162205,-0.032134514429398076,0.030991177071186704,0.12823180383633645,-0.031502999226300954,0.03162873827900059,0.12715110212835265,-0.025756865434635956,0.03037004784286068,0.12130358792893994,scapula,4
7,-0.01632670496881472,-0.12271447153635795,0.04573355888582606,0.042021510066561296,-0.04073038620720493,0.1008034126695356,0.03549391062324567,-0.024647434664485268,0.14512276956290654,-0.03632118233809492,0.03152270253753775,0.09580721040867099,-0.049062202438569485,0.03191920692328187,0.12771321961480658,-0.046410847564057944,0.037048150296515536,0.11150701715993161,-0.029880203275177597,0.03450842007346944,0.12432659974576171,-0.050651318213231905,-0.008822455822790287,0.14501360113223927,0.005479529261145588,-0.016470731519390103,0.10464568499162862,-0.02880771575060498,-0.00330017936132021,0.1297352534059928,0.0040737126577815586,-0.01630344982533599,0.10719303736184657,-0.03353098601510454,0.0017990701443453272,0.11324858526741399,-0.03413959741675786,0.002119977345245827,0.11116276926679972,-0.03636219432154813,-0.0009523867247869244,0.10696955693081114,-0.025818732204197614,0.02892252409553897,0.12098049814145162,-0.02501535570411706,0.027929442633808477,0.11998429439030958,-0.02246195804170481,0.025770786800853318,0.11765436914915994,-0.036619427400224724,-0.0031346568718756407,0.1062306820210438,-0.03475646773776275,-0.0010400348512534796,0.10749328553810594,-0.03242642237242199,0.0032438473048779226,0.11322779675325503,-0.02712995705685503,0.028513881584449452,0.1218891637072341,-0.0373713913218586,0.026013959298411438,0.12942748416043415,-0.028748705109449657,0.030544349623810363,0.1257860031424372,-0.036766352292454674,-0.004723166616194763,0.12390016562198011,-0.04411175136204126,-0.01247075572978823,0.10269779506237514,-0.045348597776984634,-0.013725891189457162,0.1040234217102951,-0.04149428148825507,-0.009547299044412372,0.10294352511829497,-0.033043702163954136,0.03057165509627635,0.12954898265015422,-0.03290624370416395,0.03071920631341174,0.12814604019847425,-0.02729951529485708,0.03170430453586015,0.122978390763375,scapula,4
8,-0.016069314348512692,-0.12213030809989867,0.045841122541150636,0.04211873011160133,-0.04082175789789677,0.10077927341214349,0.03561263280065197,-0.02502418695890929,0.14525298461761119,-0.03646255780821156,0.0314364037141196,0.0957838703258932,-0.0489954400269193,0.03188594669445277,0.1277136719977491,-0.04650118317096419,0.03748194498023527,0.11150445281401758,-0.02975918749160794,0.03406293740560451,0.12428668251512759,-0.05060345547872766,-0.009247870634774058,0.14494704002620323,0.004400199384240078,-0.01906923685133921,0.10521386483670654,-0.02777873394227426,-0.005040240845917032,0.13019998938131666,0.003089175131464117,-0.01760968605629354,0.10796955382559995,-0.033314063477966185,0.003342402461252947,0.11465382250185768,-0.03347891447933589,0.003070844867899325,0.11246379556604796,-0.0356764476742478,-0.0017453776060798454,0.10764876805446599,-0.02458537459324517,0.027917136810020005,0.12010631560946572,-0.024058313025480005,0.026580623824284222,0.11882575870432285,-0.0223024439275592,0.02451726625655115,0.11660865901641881,-0.035344084267155185,-0.0016546115713237386,0.10734081878916327,-0.03314601833762787,0.0013501853397227537,0.10970872709097546,-0.03199736938461906,0.0038064756310733916,0.11451423886442696,-0.027422298965008557,0.029123264309887875,0.12199793327589534,-0.03734921539422428,0.02512978083843176,0.1285399608897016,-0.029953182693463615,0.030800043617427053,0.12649934951925518,-0.03627702461758342,-0.004784741913554047,0.122502491835372,-0.042486385125207304,-0.010546404429374212,0.10299059890930695,-0.044524791220530324,-0.012900137815454127,0.10291352996910486,-0.040245465129092106,-0.008066184144863542,0.10321380660151885,-0.03548649152045069,0.029667139604168113,0.1300737692645565,-0.033135106429002525,0.030919248610198458,0.12880638136207911,-0.02784101110184023,0.031415212068287124,0.12311715165428079,scapula,4
