,HGT,HGT,HGT,HLT,HLT,HLT,HIC,HIC,HIC,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_glenohumeral_0,operator_0_glenohumeral_0,operator_0_glenohumeral_0,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.028697740520199355,0.05731877418587328,0.12740750864897651,-0.05136055780845822,0.037671880426847215,0.11034303766951377,-0.024804529171203238,0.03772606887460178,0.07962298881571456,-0.001810573474963384,-0.011981536102670054,0.11579920314899943,-0.04690192239070079,0.048294221685446614,0.11507825600243529,-0.04421368216708088,0.05833535391322703,0.11836886337412411,-0.043813187931774245,0.06484418306173101,0.11373592498439572,humerus,4
1,-0.028622985729757855,0.05743170396938191,0.12737603280039847,-0.05129555012475201,0.03776939931428591,0.11031419198923582,-0.02468770100264206,0.03780110008005927,0.07958992017536978,-0.0016367646248963696,-0.011832292731501659,0.11611438931744812,-0.04683371756950516,0.04820831347672472,0.11502516684953645,-0.044286845269260855,0.058277933448270036,0.1183822792586468,-0.04326938089431431,0.06517225834476809,0.11390632079065766,humerus,4
2,-0.028410471836124773,0.05758788693935102,0.12727930719753924,-0.05122764549376363,0.03785967194650264,0.1102918715573439,-0.02469624617258548,0.03780059142054498,0.07959903290863404,-0.0015842180035303688,-0.011627638675368202,0.11606778162226683,-0.04655532865469686,0.0484691195112712,0.11503003272415194,-0.04401788644942717,0.0586584571664015,0.11833123240598259,-0.042417258424062076,0.06576668107894101,0.11427294194872703,humerus,4
3,-0.028827607277686962,0.05713028905611217,0.12756544308560896,-0.05106535634904724,0.03801216980078248,0.11025373408260414,-0.024229753600542026,0.03816184819999702,0.07937361983596786,-0.0014135743448521199,-0.011636338330345941,0.11601169198451473,-0.04577298449401418,0.04942517773595012,0.114935449708191,-0.04203228144003979,0.061632229794826965,0.11680651646402368,-0.04064472865580904,0.06670973274239,0.11466047873663154,humerus,4
4,-0.028453278683822636,0.05750343390101531,0.12731355899802865,-0.05140528590461596,0.037636269720697335,0.11035351557118833,-0.024636814162806497,0.03784002986896101,0.07955231238983712,-0.001624416998672329,-0.011733254390594361,0.11622411223229662,-0.04455561263419899,0.049378642589878785,0.11528476534159338,-0.04074100074181897,0.0636585680876256,0.1161896607689264,-0.03939603864397456,0.06759078326719309,0.11474340918109502,humerus,4
5,-0.028628230287885637,0.05729350888481999,0.1274603804618721,-0.05127952535900199,0.03776926946148096,0.11037081602893284,-0.02442318575364799,0.038029263346926634,0.07943571178522299,-0.0013715393120226071,-0.011227778518720255,0.11648957239654067,-0.044379236024067625,0.04923886071578398,0.11687826416077218,-0.04059912487466921,0.06299504527312949,0.11679066615529687,-0.037509636373941,0.06843721903042715,0.11483697343022967,humerus,4
6,-0.028827746754413575,0.05711470870175828,0.12755038952176856,-0.05123109242522633,0.0378468675903636,0.11037134221981595,-0.02453750664816412,0.03797210355043218,0.07944026247087771,-0.001402324524774734,-0.011147156174545647,0.11680244921316767,-0.04399409243785746,0.04921477819792974,0.11723473623655739,-0.040713774910590694,0.060625026136192084,0.11896234195654234,-0.03621901857544918,0.06894398781981681,0.11454522516351429,humerus,4
7,-0.028539012101345684,0.05738060237604847,0.12737788747271686,-0.05167044485723854,0.03732952765763431,0.11050294550925702,-0.0245836390369929,0.0379156212503548,0.07950143514170166,-0.0013579855405041474,-0.011115442074308035,0.11687344934153221,-0.04424893002428887,0.047938765218805246,0.11538410021798115,-0.04044549299790523,0.05888694533930455,0.12094406960659132,-0.03469085736242694,0.06925346471298077,0.11438828491542688,humerus,4
8,-0.028673435196062802,0.057213986820747076,0.12748347542988345,-0.051211134484364096,0.03783079923716082,0.11036105538345824,-0.024540472800306246,0.03794786789538068,0.07949523710068965,-0.001160696718008114,-0.010963167774881044,0.1169043350359388,-0.0455161892059171,0.046149473819181,0.11534543799522634,-0.04065573045148141,0.05734981414338031,0.12371762378184434,-0.033036450897971914,0.06934240453724272,0.113833470796713,humerus,4
