,SIA,SIA,SIA,SRS,SRS,SRS,SSA,SSA,SSA,SAA,SAA,SAA,SAT,SAT,SAT,SAE,SAE,SAE,SAJ,SAJ,SAJ,SCT,SCT,SCT,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_glenohumeral_0,operator_0_glenohumeral_0,operator_0_glenohumeral_0,operator_0_glenohumeral_1,operator_0_glenohumeral_1,operator_0_glenohumeral_1,operator_0_glenohumeral_2,operator_0_glenohumeral_2,operator_0_glenohumeral_2,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_1_glenohumeral_0,operator_1_glenohumeral_0,operator_1_glenohumeral_0,operator_1_glenohumeral_1,operator_1_glenohumeral_1,operator_1_glenohumeral_1,operator_1_glenohumeral_2,operator_1_glenohumeral_2,operator_1_glenohumeral_2,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_Glene_0,operator_1_Glene_0,operator_1_Glene_0,operator_2_glenohumeral_0,operator_2_glenohumeral_0,operator_2_glenohumeral_0,operator_2_glenohumeral_1,operator_2_glenohumeral_1,operator_2_glenohumeral_1,operator_2_glenohumeral_2,operator_2_glenohumeral_2,operator_2_glenohumeral_2,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.02678914027415802,0.10767505894506868,0.03041732527707789,-0.052891220225014746,0.028038032782525923,0.10293168778179648,-0.031376491725718436,0.015719569177378157,0.1438281235507978,0.03536342185623642,-0.02619759625027318,0.08748261567458909,0.06133125667652767,-0.018686078841344433,0.12425149103943743,0.04983413568462636,-0.030432361120894424,0.10288802354327903,0.04090610073671841,-0.024343702549826318,0.12753527549717836,0.060401679071251824,0.02011738726014406,0.1276138302684965,-0.008029481205434036,0.029711340608542858,0.09738863144186619,0.033264700845348716,0.0020244257838912816,0.1239355636261629,-0.0006413240087521643,0.01571848918136351,0.11807654621749109,0.03553471397369046,0.004905915424010088,0.09787108616543919,0.03627456557331285,0.007260265728790571,0.09551155395316313,0.035765185691832874,0.005848648508898435,0.09670665300456271,0.041563531568376444,-0.011293035677157115,0.122612070297769,0.03998798357529276,-0.012367769978140042,0.12285122560316906,0.04035589483769808,-0.011659907502228894,0.12250555956642331,0.037986820400330384,0.009544659287904156,0.0898332566590545,0.04159858225765449,0.015792671195621,0.08868725300789004,0.0362824767641447,0.005070423548372505,0.09526251327127455,0.05010922294753589,-0.01911193925833432,0.13301721634830999,0.0355128223648874,-0.022649502973994096,0.1256617333442841,0.040398471775519584,-0.023648528545352376,0.12788136010164497,0.04250125891125518,0.02055805110803427,0.09514981689417878,0.041805998402883904,0.017786383089036406,0.0895494663667546,0.04374443017664942,0.020226277171782936,0.09136624955245298,0.04434045037319306,0.021075473866610406,0.09129572911420986,0.03968500842813949,-0.022296931282726362,0.1276829946156644,0.03865729879467772,-0.022223335352402063,0.1272688677401487,0.039817218738029625,-0.023187779267586417,0.12808162311836507,scapula,3
1,-0.02673777938100691,0.1076141081773696,0.030379840035395324,-0.05280980089152154,0.02803278486734162,0.10288508942008227,-0.031214650277596734,0.015511446519173022,0.14384471787146574,0.0354216773893648,-0.026294310748207428,0.08748895729103845,0.061267845730613946,-0.018798098366840987,0.1243255639689169,0.049852767138513165,-0.030487492112350356,0.10291499512313201,0.04087509190559846,-0.024372788994134975,0.12750684961807743,0.06041066221949365,0.02002051093976237,0.12762784941971006,-0.007220694974001407,0.029433161393799034,0.09816479051411364,0.034919358386739596,0.00206653411755664,0.12339854833993624,0.00011940750932026845,0.015769911635007773,0.11748294276118632,0.035529681917790795,0.004953985953790929,0.09783783595371384,0.036324322377756485,0.006808876949906062,0.09570477902516561,0.035761262700570395,0.00588817790213958,0.09664866856836146,0.041123572487110294,-0.01177511649370322,0.12294224570889392,0.040919470090629906,-0.011010408956955597,0.12261984140133915,0.04049503582895375,-0.011746011240196919,0.12271161685295412,0.03744904792317505,0.008853736637313703,0.09029083145949068,0.04061829184293609,0.014584211066718478,0.0887163420263209,0.03623694004860445,0.0051869185775466065,0.09536416840500017,0.051093530952787236,-0.017557189400447593,0.13293818780737598,0.03378130786628042,-0.022593219183134172,0.1250596215839954,0.03919697836903957,-0.023276033260120066,0.12713766537443494,0.04214269300555806,0.019811871894327038,0.09381571054705307,0.04131530703190872,0.017156703775127014,0.08959130747187605,0.04350008284419804,0.020198164511347483,0.09037911650225555,0.043633615381406365,0.020394404678890476,0.09047790176862341,0.040448018579670175,-0.0220753099583898,0.12802035117722269,0.038759578420868857,-0.022464832303403015,0.127371096752184,0.040010668526981985,-0.0230666656221723,0.1280585364594497,scapula,3
2,-0.02659938570593129,0.1075160504288557,0.03042100862562014,-0.05289764601810226,0.028139627722994054,0.10285275198489727,-0.03169336645955384,0.01580939054217534,0.14391661394242625,0.03544410184424435,-0.02632062901937382,0.08747888745177486,0.06123624312558684,-0.01868959318203145,0.12425333700652078,0.04990064903313712,-0.03055257768148789,0.1028528347813919,0.04085705166082526,-0.024277355258015887,0.12750557062328957,0.06049838126184459,0.020039118305951842,0.1275865999874461,-0.006746744936574511,0.027752421731297328,0.09939853397627438,0.03698068853830108,0.0037266682023859854,0.12305632744960515,-0.00029947077144998335,0.01569321448909211,0.11707841495165067,0.035539706866069526,0.004755425644971112,0.09788710064227751,0.036158950053358424,0.006840894461585201,0.09579943710662264,0.035746733383317644,0.0053802337740163075,0.09686056282187833,0.041342197390490054,-0.011652128505594272,0.12306014497359138,0.04082188237018103,-0.011439161467968972,0.12290220839856311,0.04086176632383043,-0.011707332167158135,0.12309304076850668,0.0370208547924049,0.008191931213320847,0.09099733518271935,0.03987948945720933,0.012655605657134306,0.08837707039695913,0.036114510854917514,0.0053519217326972734,0.09546073251321074,0.04978152190910379,-0.017644634915288337,0.13252226713261805,0.032436790840527197,-0.02186426978863054,0.12426614010817622,0.03842499450246761,-0.022358205694686994,0.12653370155453597,0.04165418798206896,0.018590165276168413,0.09224469405684332,0.04093738971155664,0.01655345778245143,0.08983813819338499,0.04306921670160346,0.01928533470350058,0.09008114302991649,0.042975765631927454,0.019273463360972742,0.09016041930696866,0.041221810234020884,-0.021760890383297204,0.12850445291072204,0.03972671207119227,-0.022017962323464535,0.1277621155994363,0.040370632008846885,-0.0229170176952318,0.1283805609351487,scapula,3
3,-0.026592003825585298,0.10754505294741235,0.03042372153432423,-0.05271416880294483,0.02791901019899201,0.10296560387167175,-0.03131180970592684,0.015551887271866516,0.1438169887276583,0.03546878421202759,-0.026247587939099315,0.08746146919002318,0.061260717973126655,-0.01875382951022364,0.12424213267906209,0.04983931149638837,-0.030587572410393005,0.10290881393815796,0.040860541814130125,-0.02429374342000068,0.12750688896031473,0.06052321395648674,0.019978921351778645,0.12758595057519737,-0.005968058377458757,0.026482973315724134,0.10042947217077314,0.03690689343799665,0.00575460653330262,0.12324471230536899,-0.001511355879448617,0.016615442157183066,0.11346326330316668,0.035475428879215426,0.004177977103194452,0.0988519285690608,0.03605091834146468,0.006245801650407223,0.09620892710844747,0.035771976303772116,0.00553843798616338,0.09676088058513843,0.042734271693606996,-0.011004101663199095,0.12321223762336547,0.04143305417160115,-0.011309312442486452,0.12326988834432359,0.042622397542478985,-0.010993159239765626,0.12353501003803666,0.03652233645167735,0.007384588628685407,0.09177687532788181,0.03943448234699735,0.012105055700860845,0.08897658938935443,0.03584355884532342,0.004523083250113524,0.09705814762598358,0.04840149997682369,-0.019177342256480046,0.13230844836328864,0.03166309551193325,-0.021648689282192823,0.12330715006772014,0.037289560701255,-0.023936593374414394,0.12633049206296693,0.04100320798307623,0.016506291785666594,0.08997172452977209,0.040469450208626245,0.01574831949493588,0.08990403213959097,0.04193917519811635,0.017784117296670343,0.09010151473670097,0.04190840975023602,0.017487757991502928,0.08961130693011277,0.04211358593068315,-0.02122408093349093,0.12903821316489242,0.040024888364317335,-0.021816616372655306,0.1278683651278329,0.04056878386600532,-0.022328835054156504,0.12845483350320372,scapula,3
4,-0.026783142245608182,0.10795744077958658,0.03036305159788895,-0.05285798574918066,0.028010583114940868,0.10296515292153732,-0.031288775067441654,0.015546275203899174,0.14384773053114863,0.03539467523048878,-0.026280026468752604,0.0875203135010182,0.06121476995642272,-0.018557310363961688,0.12427228430134585,0.049819929387541206,-0.030404482352094142,0.10283941875520616,0.04107555879855285,-0.0246280518963351,0.12739699283825467,0.06054116548791599,0.02000881748117278,0.12759943141755986,-0.005853975897468111,0.025448375401356804,0.10071350414188154,0.036525660145457745,0.0064832995729193765,0.122857076000317,0.00016597708289112223,0.015905585388465593,0.11157215321322451,0.035401648614445,0.004727113958330698,0.09905034559929651,0.03581758374850971,0.005919435031972231,0.09688888926162559,0.03576851866122052,0.005588765688795627,0.09680912664200791,0.04338707908758688,-0.010777054469814695,0.12334296587991381,0.04328884327850657,-0.010339479553235553,0.12354550470564497,0.04379445780362479,-0.010461593996269891,0.12405651238867835,0.03610225778255215,0.006787401702176066,0.09313448731524543,0.038228211132041244,0.00990489420454621,0.08973227007455742,0.035648823872329205,0.0037435648820638434,0.09806987696561204,0.04747466894190622,-0.020657279459023292,0.13207516473762226,0.032199533518994294,-0.02044407989290209,0.12268333380749619,0.03633752215548092,-0.023485906483819263,0.12619000748590092,0.039945714617174416,0.014109425107497076,0.08861871674054767,0.040039299953540386,0.0150329312135844,0.09005376001067972,0.04163646857524622,0.017527434222100624,0.08966146104086609,0.04116534803793531,0.01632209702253562,0.0894388863520656,0.042803410117189356,-0.02074862732416638,0.12939665495419705,0.04082816364762254,-0.021546902858562644,0.1282072656754285,0.04135839756986476,-0.021921348183855383,0.12878603361670898,scapula,3
5,-0.02676494635778065,0.10780954386647112,0.030406196597539292,-0.052788033978795834,0.027905499434925374,0.10295653548586578,-0.031166819339303986,0.015312849291982622,0.14387823280928236,0.035478322142994956,-0.026320097073302073,0.08752786056776796,0.06131528908243311,-0.018853825983767503,0.12423843634552273,0.049734896672820106,-0.030222960741074112,0.1028097265434496,0.04104573367604242,-0.024473439862643942,0.12746990951412815,0.06037690552429098,0.02014007014003738,0.12758469629098107,-0.005343333090498503,0.022604717282318942,0.1013982258263284,0.03663453442488737,0.006906744638514706,0.1229233284090026,0.0005374046628954243,0.01529377779275598,0.10988551934156766,0.03517162050008352,0.004106899894068761,0.10011079144199081,0.03560714192271611,0.005014195010380695,0.09822322579262566,0.03548990289880172,0.00448981254804981,0.09813358179098913,0.044726451222107944,-0.01038264184358939,0.12367207718424447,0.04469560228900393,-0.010071765999790094,0.12417068144754018,0.04540203750021943,-0.00991138712237516,0.12440643768811332,0.03591979434340426,0.006583537708938714,0.09340472926726318,0.03712829199486683,0.008283703786025942,0.0909296703516616,0.035624192369682506,0.0031265213511869616,0.09897834529046012,0.045724335967914975,-0.02049493168200245,0.13106813408327378,0.03192095436395814,-0.019618703275109173,0.12116052624322049,0.03475128890518964,-0.02291079514572769,0.12585751541850282,0.039182516595562975,0.012817649910403683,0.08911364281306966,0.039105254719292826,0.013231707894471034,0.09076486286531266,0.04107585009745279,0.01669190531254333,0.09005236290415641,0.04060640756501066,0.015424745900393111,0.08979568683296418,0.044140876253982886,-0.01951775161069147,0.13019458405342593,0.04122421718146363,-0.021874076011644927,0.12862978575300588,0.04131000437522225,-0.022034325962422274,0.12881135060648932,scapula,3
6,-0.026703800510101905,0.1077148336683631,0.03034005038179058,-0.05292259416977696,0.02809487234908037,0.10289474208547242,-0.03149319203393547,0.015608368972909847,0.1439016477613446,0.0354509755463151,-0.026136090725841443,0.08749224524556946,0.061207879557153344,-0.018690999870620506,0.12427018556492997,0.04976282180943886,-0.030283166244848614,0.10285445100467638,0.04100378754631817,-0.024420097882251746,0.12742374492708333,0.06049142387098305,0.01999965736299203,0.12757561402890694,-0.0057965413685142075,0.020141622330483222,0.10212733357229267,0.0365105337485187,0.0079778019743183,0.12228039706012894,0.0011308378641141648,0.014063348332171613,0.10855355163815059,0.03510097049114402,0.00394462873014334,0.10096662597137895,0.03539304597392681,0.004578250624486135,0.09933560524629076,0.03538549348178735,0.00452825849100813,0.09860127031340199,0.045212837755853386,-0.010362897499278878,0.12402033469975576,0.0460224143666903,-0.0097587268446091,0.12484578314977791,0.04646940045298442,-0.009470899578315595,0.12516609576221338,0.03561320027611861,0.005811236931242192,0.09404706204885538,0.03600973020920337,0.006908347870970832,0.0932532413844025,0.03568877751267896,0.002534371253497425,0.10086538587801686,0.044885845180510475,-0.02147194077711989,0.13051602508332838,0.032885331868044876,-0.01853346389825894,0.12137683540429411,0.03336306310034309,-0.023833351119244006,0.12509842723228592,0.03901246873429004,0.013915692610707353,0.09152006035157811,0.0390178348937536,0.012986068178472199,0.09074674551524164,0.04063910585458791,0.0157772386466995,0.08994219050937119,0.04010807346605216,0.014323404155036079,0.089986873221294,0.045284346200406334,-0.018913336095296218,0.13050499756132056,0.042114614516848614,-0.02089143929169368,0.12912175150571054,0.04243237981810427,-0.02115084615646501,0.12960551087887523,scapula,3
7,-0.026474199829728706,0.10737066135705886,0.030461955090751884,-0.05278048802499802,0.027986112471669045,0.10296435696993622,-0.03138919592885475,0.015468903225598352,0.14388981681493968,0.035494944615571566,-0.026243741558261924,0.08750164647551195,0.061268257129937664,-0.018829360036507148,0.12425370277183354,0.04993164956787599,-0.03086199209140683,0.10281575638045964,0.040813350583589814,-0.024122957613086915,0.1275531591115699,0.060437099627331126,0.020070329937375897,0.12764439013424683,-0.006331679167350002,0.019039999044534905,0.10217197165858857,0.035163197204243435,0.01131260620807728,0.12219464704364674,0.0019320148040682383,0.011905200044210085,0.10752356171459593,0.03521255347816343,0.003451006198636697,0.10146574007299494,0.03522974416248631,0.003360246832980085,0.1007411944178862,0.0352893316148023,0.0034339495920190366,0.0997256004221147,0.04593287652114442,-0.010182148687434056,0.12450239314501446,0.04708509218167056,-0.009097771728488802,0.12566988294930972,0.04744132936579126,-0.009126561131432953,0.1259683898622912,0.03546444462733087,0.005251317563332192,0.0944539740603565,0.035589744103215394,0.006066511707869093,0.09471566242708573,0.03573416813488872,0.0021125587788666245,0.10223876019859618,0.044060433647640895,-0.02219371849167251,0.1302706813157571,0.03368332166645649,-0.016845309492869054,0.12104767181260673,0.03293441163694166,-0.023355573320694156,0.12476469209582569,0.03913108589543285,0.014991236285648357,0.09279685982554142,0.038867200729651274,0.012609846909010458,0.0906926744380297,0.04003590486786357,0.014626311644939438,0.09029008393583654,0.03987944655791209,0.011565370883912851,0.08917473293992301,0.04637194868479716,-0.01845014200938544,0.13085551248814373,0.042889587947972596,-0.020064221892412637,0.1295120777303216,0.04304905101077916,-0.02110129283951767,0.1298968733011706,scapula,3
8,-0.026778024199370032,0.10778708753589206,0.030392182222943237,-0.05285195161307016,0.0280518016117427,0.10291151447694452,-0.03136895866005451,0.015502538944226152,0.14385390071158088,0.03551727738817262,-0.026253057327044527,0.08749295000933006,0.06124813155125175,-0.018678330170738944,0.12421575060538691,0.049813790398809954,-0.030436674463284574,0.10279164134936249,0.040849719681756214,-0.024269050428432526,0.12751993183475444,0.06030103663294428,0.020196917571246698,0.1275302122472789,-0.006451668337168981,0.017822821418864376,0.10156975881149913,0.033745708249484974,0.01255206356523475,0.12213810532313484,0.0017508842723590323,0.008206225128269143,0.10692083677724633,0.035193503293419276,0.002955739366025667,0.10264112786320395,0.03524644399701432,0.002877918361466225,0.10155141934033785,0.0350780576517401,0.003662066454376056,0.10053626898302226,0.04609735748430044,-0.010097220425730025,0.12495164464192107,0.047784998745653895,-0.00870940198716641,0.1261102452186207,0.04786895284533854,-0.008500003569085535,0.1273818518464342,0.035348013968835565,0.005198815309420457,0.0956938884843348,0.03535777748418866,0.0050590746157186395,0.09542375922496632,0.03589440549982825,0.0020248327683026757,0.10357237603002495,0.043158055386571526,-0.023219736842249095,0.12975650251877446,0.035077730418191844,-0.016908666505192738,0.12168567985460724,0.03214171951231681,-0.0228856122920571,0.12391308366747045,0.03955498860847641,0.016535311591986235,0.09448823334035417,0.03861276141295511,0.012128135161503018,0.09082712404575788,0.03974134584311112,0.014191189192717168,0.09043785109363262,0.03967883379300585,0.011512840341494746,0.08943959752626912,0.04704904535109666,-0.01826528461352006,0.13096180835731053,0.04382356713509217,-0.019031451310512315,0.12975329119831305,0.04377991165068423,-0.020055267170795532,0.1301543842137582,scapula,3
