,CAJ,CAJ,CAJ,CAA,CAA,CAA,CAE,CAE,CAE,CSJ,CSJ,CSJ,CAS,CAS,CAS,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.017170216512058634,0.03354110071842423,0.10345709496886465,-0.013566753228153594,0.00868233440366701,0.09973528106771933,-0.009771451668513786,-0.06511103883372538,0.09016536054868007,0.007051176437095186,-0.10283761986041523,0.10749846621354273,-0.0009558846739639026,-0.10555712768358752,0.0950657489218617,0.001316380471945433,-0.09581497393896565,0.10141116173422542,-0.017625755144289545,0.029957584846308963,0.10418835647792496,-0.021868574668636342,0.02388324516865603,0.09257388118921872,-0.023798954668828767,0.02915773591240356,0.09675898760257787,-0.02376221200585689,0.028549711878561923,0.09524115566691771,-0.022816793212719233,0.029645063888349976,0.09542490627093982,-0.016360488637244597,0.035332008772860024,0.08900078121081328,-0.015175446655499525,0.03662994252976659,0.10087787759872333,-0.010090445005831228,0.03827812941646269,0.09102457442340951,-0.011926569485255611,0.037166687725863706,0.09281567295464034,-0.01083784943175592,0.03742744678233165,0.0931673507707596,-0.011809895206027488,0.03725914649108328,0.09309131968328825,collarbone,2
1,-0.017170216512058634,0.03354110071842423,0.10345709496886465,-0.013566753228153594,0.00868233440366701,0.09973528106771933,-0.009771451668513786,-0.06511103883372538,0.09016536054868007,0.007051176437095186,-0.10283761986041523,0.10749846621354273,-0.0009558846739639026,-0.10555712768358752,0.0950657489218617,0.001316380471945433,-0.09581497393896565,0.10141116173422542,-0.017625755144289545,0.029957584846308963,0.10418835647792496,-0.021868574668636342,0.02388324516865603,0.09257388118921872,-0.023798954668828767,0.02915773591240356,0.09675898760257787,-0.02376221200585689,0.028549711878561923,0.09524115566691771,-0.022816793212719233,0.029645063888349976,0.09542490627093982,-0.016360488637244597,0.035332008772860024,0.08900078121081328,-0.015175446655499525,0.03662994252976659,0.10087787759872333,-0.010090445005831228,0.03827812941646269,0.09102457442340951,-0.011926569485255611,0.037166687725863706,0.09281567295464034,-0.01083784943175592,0.03742744678233165,0.0931673507707596,-0.011809895206027488,0.03725914649108328,0.09309131968328825,collarbone,2
2,-0.01767047499727814,0.03353827536639978,0.1035064349726212,-0.013430058954399082,0.008616286735608485,0.09967571017596738,-0.009632021837883475,-0.06511243675125258,0.09011382257081824,0.006761867868663174,-0.10271600278360743,0.10751408673828218,-0.0004203277033719699,-0.10556274797138906,0.0949337192193481,0.0006832236595646912,-0.0957060846753286,0.10128418173790618,-0.017539517919166747,0.029896005529001263,0.10417288683327777,-0.02178902290576823,0.023803583145088125,0.0926039293851671,-0.02380402655252524,0.02892398640252558,0.096804960002562,-0.023837643984551946,0.02861304366229478,0.09525246373329604,-0.02271724480634324,0.029441296121156313,0.09542051511309448,-0.016385337689529766,0.0353772400956478,0.08893166559977583,-0.015029226977788357,0.036733039559417424,0.10076972657353847,-0.01024988807635585,0.038137552794878404,0.09119602855423793,-0.011902309640470343,0.03723407440650872,0.09290682922956882,-0.01212446471985651,0.037327948719476554,0.09366749298005705,-0.011816409941100114,0.037354548753983516,0.09357835020997747,collarbone,2
3,-0.017709684705231155,0.033566125112819575,0.1034143318329329,-0.013531578226645524,0.008713266710088166,0.0997578292178938,-0.009690884443332548,-0.06506238971604472,0.09012727809868043,0.007017618378586943,-0.1027538159233835,0.10750720471178307,-0.0013504963934244385,-0.10545626751950316,0.09501479700042564,5.663258800459037e-05,-0.09563857946734577,0.10059920255393975,-0.01610298411913924,0.02945357699040063,0.10412557302765105,-0.022269389098959147,0.02367358331522068,0.0937209083681742,-0.023718812898715323,0.029512129843046297,0.09617308201158459,-0.02369954554181264,0.02875353368180189,0.09496520176802586,-0.022625558587517913,0.02957494097613289,0.09489043677561931,-0.01759720130928151,0.034547058982969836,0.08907761626190405,-0.015010183431004076,0.03675306040377979,0.100778272088481,-0.00980183350338737,0.03829143176729266,0.09231004487061843,-0.011902309640470343,0.03723407440650872,0.09290682922956882,-0.009922791987088675,0.03768472315521124,0.09346117102069657,-0.011996788776827305,0.03735974407575554,0.09374144973978359,collarbone,2
4,-0.016951967327142214,0.0336184554523446,0.1034464421386227,-0.013811953930007781,0.008808702785530267,0.09987050778173495,-0.010152237923944707,-0.06521943946571312,0.09004340878164024,0.0064450818811147,-0.10279445231495958,0.10751008108421442,-0.0008175309621589744,-0.10546147431321667,0.09493567238212726,0.0006912853627198956,-0.09700009326391734,0.10126092435482746,-0.013576829166014326,0.029423742764693436,0.10381517153166825,-0.02211653538880176,0.023492870255193088,0.09568506810824173,-0.023607899384789098,0.029668035025935957,0.0952251712808076,-0.023295588869061967,0.028435170936676135,0.09414775534766456,-0.021994085269063768,0.02994620582614782,0.09357030605753433,-0.01842802164378593,0.033922386397493454,0.08974310230982871,-0.014329119706493254,0.037343387530501815,0.09960068549663273,-0.008224772883546283,0.03887440294621147,0.09277606317579425,-0.011117399825807395,0.0373872810382844,0.09310820375405424,-0.009922791987088675,0.03768472315521124,0.09346117102069657,-0.010814529288393326,0.03763686687068819,0.09525423280844897,collarbone,2
5,-0.016628572522229712,0.03343497753636579,0.10347931857248091,-0.01396623602281466,0.008686092203219885,0.09972417711333209,-0.009669805040003032,-0.06507773192998739,0.09025560144346845,0.00696474004830383,-0.10271764625272684,0.10739346518345964,-0.0009842807072077964,-0.10550648198133125,0.09501012658190779,0.0007401797274067257,-0.09606049507509262,0.10121567254638031,-0.013163426807644152,0.030008859198364227,0.10392187613535103,-0.022607497410244926,0.023789179540673278,0.09705336678048576,-0.023004731886184418,0.02942388623309844,0.09369316132304961,-0.02263454439230489,0.03007244916413232,0.09321788823116314,-0.02129193317112621,0.030982791582975344,0.09248522811990742,-0.019382564491069773,0.03358645340467026,0.09067440917566505,-0.01221552018156663,0.038444666018890294,0.09858077589536998,-0.008340147762489036,0.03868805761535288,0.09327581890547634,-0.010446884679638946,0.03768857223363514,0.09363016876930115,-0.009671392024492964,0.03748106217137995,0.09647575200770592,-0.010222201952005627,0.037271621414482745,0.09615872528820739,collarbone,2
6,-0.017828773690242605,0.03331974972075477,0.10348504330825614,-0.013385537431549133,0.00868358662679862,0.09979144680834448,-0.010077455245166123,-0.06508573167975842,0.09011123153685463,0.006731882712630477,-0.10275162792420958,0.10742421716077664,-0.0005750016306129702,-0.10562276111909524,0.09495438957748523,-0.0007091198778851615,-0.09518053326902032,0.09961564151597238,-0.009402305322760096,0.029430421952613417,0.10328388506059301,-0.022444168421547506,0.024007195864128472,0.09836966158540639,-0.022743970013082218,0.029519991755491137,0.09302957863984981,-0.021973608388939733,0.03155862611387206,0.0922168438045112,-0.021194612242600497,0.03166558891777094,0.09258273899952095,-0.020840593619062778,0.032598595555272,0.09179586417128,-0.010842015233996027,0.03853705188065293,0.09700537129984449,-0.006849395791056034,0.03899938183537843,0.09424513633306153,-0.009532410727669305,0.0378884410205059,0.09488664885607513,-0.009671392024492964,0.03748106217137995,0.09647575200770592,-0.011872020165566544,0.036802026507889135,0.09699016590633901,collarbone,2
7,-0.017260446909785565,0.03331369766332436,0.10351651408446347,-0.013695554082701067,0.008731774292054545,0.09969953595403588,-0.00991771228326388,-0.06517448741212045,0.09015442659417977,0.007334933454574144,-0.10275067396589885,0.10744687527134868,-0.0009673171625674826,-0.10552185483545812,0.0950177647293145,-0.0033376316984143756,-0.09209524796968849,0.09595591216000582,-0.007412978338666276,0.028696674655655674,0.10304614090194804,-0.02132111439021145,0.023368759775831083,0.09947163182764196,-0.021287438535022005,0.030256520937366305,0.09130948230048466,-0.021017341960096914,0.03165958789430379,0.09076030332608545,-0.02027495385466843,0.031593187417930046,0.09084402363356983,-0.02230272039559228,0.030361889150713695,0.09328781858843405,-0.009212682750089018,0.03862132352958314,0.09624278960544533,-0.00638336371259518,0.03903650822754878,0.09539826926845217,-0.009854531212044715,0.037561177783550476,0.0957979794629947,-0.011795292942705982,0.03688857141106608,0.09780487734878213,-0.011872020165566544,0.036802026507889135,0.09699016590633901,collarbone,2
8,-0.017261677906061146,0.0333085912335396,0.10348795296087054,-0.01363276107644873,0.008736763421670651,0.09976695249376778,-0.009989134130362176,-0.06515227883451169,0.09014636220998345,0.006730903666714694,-0.10275550319982302,0.10742297598145209,-0.0009993965296151153,-0.10544736137942107,0.09486846799041605,-0.003120072658307424,-0.09278412686102067,0.0959355421356847,-0.006497003628614606,0.02787907941951183,0.10300704827972436,-0.020362140517739435,0.023180193099673674,0.09996340132096704,-0.021535389127140883,0.03122693601256621,0.09101865511371662,-0.019821426629105104,0.031752906329496455,0.08981470305919154,-0.01959296330907917,0.03178844835294836,0.08997140115323661,-0.023239635619667146,0.029328519989048507,0.09521841758985142,-0.00796747727716568,0.039070459006140146,0.09547908758436324,-0.008492264930075266,0.03820565341293225,0.0963383239370492,-0.010366800435090084,0.03727185371163558,0.0963614621624093,-0.013324922971831965,0.03673220338630839,0.09963949211580897,-0.012748754599829826,0.03664889735213804,0.09793302350891558,collarbone,2
9,-0.017005773731099794,0.03348349973603951,0.10349427045868874,-0.013587967746867213,0.008594380208184593,0.09978435035957708,-0.009981752991248705,-0.06518989007364917,0.09024320143872627,0.0068661574060238095,-0.1026980955759157,0.10748651824069683,-0.001030774298330206,-0.10541862967976465,0.09497867255490272,-0.0034519176696202747,-0.08909886590548055,0.09780395258664251,-0.006021621714772496,0.026731895214689425,0.103193501562732,-0.02092504559379249,0.022833599417507566,0.09764266891314632,-0.020962668047046856,0.03129260127069866,0.09049189197322693,-0.017718957233778976,0.03327123319597014,0.08846567319744633,-0.0175893210557716,0.03339866039800388,0.08913834875044811,-0.02355427419448146,0.028444086984584782,0.09600762155599729,-0.007205891352790705,0.03945070467819156,0.09375864197691267,-0.00973683706913997,0.03789328513666579,0.09701246140645173,-0.01131179504992974,0.03686920813483677,0.09709908252360534,-0.01396022046908485,0.03656879942504978,0.10024227570595978,-0.012748754599829826,0.03664889735213804,0.09793302350891558,collarbone,2
10,,,,,,,,,,,,,,,,-0.0031534095494966247,-0.08665720717775305,0.09946328345765079,-0.007573937796013008,0.022983385816452415,0.10291865189067667,-0.021017822561485877,0.022836833491460318,0.0961847868065916,-0.019418370262696646,0.0324189999242912,0.08941547877982448,-0.01711116741532756,0.034306075058395336,0.08831865205569275,-0.014756692588409503,0.035340920586335534,0.0883588268256919,-0.023351010309656334,0.02999641183743551,0.09814903135547232,-0.007665038710090777,0.03973435834960304,0.092219185366642,-0.011362538709743686,0.03809889371555719,0.09802451003177862,-0.013719836911202377,0.03690747813488919,0.09822500183320332,-0.01606193263293776,0.03560052839379416,0.10156213591575763,-0.01309177724085775,0.03686485159114712,0.09834324537357891,collarbone,2
11,,,,,,,,,,,,,,,,-0.0028942191350798535,-0.08282548334232287,0.10020858905375386,-0.007573937796013008,0.022983385816452415,0.10291865189067667,-0.021094320411852108,0.02275664208060202,0.09558027989219509,-0.017585324285343318,0.03387484742609359,0.08847152313585813,-0.016240066837148126,0.03483687613865638,0.08857337855369662,-0.014002368220028372,0.0362494123227306,0.08935628535931192,-0.02307466895906865,0.030447628013120398,0.09883302878632688,-0.009038594095352792,0.03899658469293754,0.09241264747254252,-0.014630619461448391,0.03671075139161295,0.10007310815873702,-0.013908137653019903,0.036904783905110594,0.0983418036901808,-0.017701494189371614,0.03483271944410418,0.10229507171533686,-0.014439121395469323,0.036610954077990046,0.09918763625698765,collarbone,2
12,,,,,,,,,,,,,,,,-0.0029252101235607286,-0.08028077235225772,0.10041673711277369,-0.00950721119301301,0.02181124456967279,0.10202050710335019,-0.02014984132824804,0.022259935039418643,0.09370257662976861,-0.01753486345588351,0.033778404151248664,0.08843030575680266,-0.015049109638840166,0.035857272911568705,0.08916321767644902,-0.013277612187054422,0.03678574973236304,0.0895606513948634,-0.02297466215509293,0.030708354046432018,0.09938839983771486,-0.010472480468794065,0.038491271579919606,0.09168652187894849,-0.014939314473325749,0.03643024257120486,0.10016805690614777,-0.014255342764949996,0.03671068199345079,0.09894719423963277,-0.018368008769483746,0.033302416647304094,0.10284468118820672,-0.014439121395469323,0.036610954077990046,0.09918763625698765,collarbone,2
