,CAJ,CAJ,CAJ,CAA,CAA,CAA,CAE,CAE,CAE,CSJ,CSJ,CSJ,CAS,CAS,CAS,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.015294424082123559,0.030885349214969576,0.1066101069491425,-0.009647681000347075,0.011377455245639684,0.10380848371997098,-0.014646275387189323,-0.047988185678602795,0.08224997545732943,0.00013856426624081486,-0.09738312353440565,0.08940675417150379,-0.010292017516076557,-0.08662327873630814,0.06432850552138734,-0.013905861718203988,0.022617690995895168,0.10601069480825148,-0.014428454124237211,0.024673619579978642,0.10580974240494978,-0.013749016499128963,0.02082355758562035,0.09755769776318472,-0.01316509364653659,0.02769365701465254,0.09681780398692358,-0.017790332453399588,0.025768311181738612,0.09794836238945029,-0.017639935270926305,0.024759670879044626,0.09808893119405312,-0.01235523406510064,0.03568165793786282,0.10272577482721038,-0.011838496156392708,0.035876856463624596,0.10151252340969286,-0.011532309233059201,0.03591820488308417,0.09982600384142284,-0.018668061280989634,0.022245354280354235,0.1008341238232944,-0.012981839251455463,0.027912184655645933,0.09640436408652173,-0.012658785963326591,0.027705429634727163,0.09649220169531225,collarbone,1
1,-0.015294424082123559,0.030885349214969576,0.1066101069491425,-0.009647681000347075,0.011377455245639684,0.10380848371997098,-0.014596752930083001,-0.047952293677288725,0.08217279631285437,0.00013856426624081486,-0.09738312353440565,0.08940675417150379,-0.010056294444571012,-0.08667408448462482,0.0642978128652067,-0.013905861718203988,0.022617690995895168,0.10601069480825148,-0.014428454124237211,0.024673619579978642,0.10580974240494978,-0.013749016499128963,0.02082355758562035,0.09755769776318472,-0.01316509364653659,0.02769365701465254,0.09681780398692358,-0.017790332453399588,0.025768311181738612,0.09794836238945029,-0.017639935270926305,0.024759670879044626,0.09808893119405312,-0.01235523406510064,0.03568165793786282,0.10272577482721038,-0.011838496156392708,0.035876856463624596,0.10151252340969286,-0.011609012301262989,0.03573794314575407,0.09990542934294258,-0.018668061280989634,0.022245354280354235,0.1008341238232944,-0.012981839251455463,0.027912184655645933,0.09640436408652173,-0.012658785963326591,0.027705429634727163,0.09649220169531225,collarbone,1
2,-0.015259890436711943,0.030900003621422284,0.10663605074294173,-0.009494185754130746,0.011334526169344536,0.10377754605358916,-0.014593137202659312,-0.04799103876418068,0.08223029114611802,-1.4285259172908127e-05,-0.09743484733025076,0.08935030283544931,-0.010056294444571012,-0.08667408448462482,0.0642978128652067,-0.013917903873097118,0.02269801078575817,0.10601833032878688,-0.012887931371235561,0.024876514863209048,0.10583893961309038,-0.013312926360669164,0.020760937314504832,0.097666227887731,-0.013128577231312319,0.027820751302995106,0.09674306851882372,-0.01751828424802565,0.02568075780809187,0.09768264224158901,-0.017565068591401473,0.024985051632958277,0.09798128352917415,-0.012653876684419585,0.03521819086664946,0.1028150222115965,-0.011935960126452205,0.03562023755518651,0.10163197760865342,-0.011439368339976275,0.03622803166939148,0.09976289847237788,-0.018654431919003733,0.022219003446938224,0.10086945722755704,-0.01295116184434364,0.028325509249278236,0.0964162820548792,-0.012938275844632696,0.027513212216266847,0.09633211130166133,collarbone,1
3,-0.015339171532069207,0.030883890389322488,0.10662310800492757,-0.00952087467948115,0.0113579790357198,0.10381487096075573,-0.014593137202659312,-0.04799103876418068,0.08223029114611802,-0.00023441350212505263,-0.09746729104178113,0.08927346138556219,-0.010165610484131005,-0.08668508305135372,0.06426625237172061,-0.012082183380830683,0.021649467336887662,0.10639571773459533,-0.010740655526656262,0.024624641498459374,0.10618053361567716,-0.012829968429999505,0.020506818754466305,0.09751774541667638,-0.01313281223936262,0.02815302685481913,0.09675045234079505,-0.01719260370957057,0.025298623816170207,0.09773458294934542,-0.0172717621527205,0.025280109905985282,0.09773878850654469,-0.013036359506104767,0.03520313322003665,0.10310660296913321,-0.012354583591789536,0.03589256476143188,0.10219464188876178,-0.01166395299918832,0.03574824175851188,0.09985987238053123,-0.018799238625181514,0.022216038772531366,0.10061974698968948,-0.012495361147803363,0.030144608212596125,0.09713042171269665,-0.0125286158979111,0.03006003998457152,0.09703408487738718,collarbone,1
4,-0.015584786257604732,0.03077401128731594,0.10660330659192527,-0.00952087467948115,0.0113579790357198,0.10381487096075573,-0.014363415961342274,-0.04789597935412973,0.08216041979527242,0.00011460954108433175,-0.09737196503638496,0.08931072802402029,-0.010165610484131005,-0.08668508305135372,0.06426625237172061,-0.010755882783881593,0.019221833867792193,0.1065805007041794,-0.009158933475632569,0.024430428009033583,0.10663231417856486,-0.01279136494836075,0.020720519497339412,0.09744284670728824,-0.013216189615513102,0.028572978317773168,0.09739424117608642,-0.016110303677449006,0.025683215101170997,0.0965565571411075,-0.017214070231505563,0.025215236931306784,0.09771576715483354,-0.013348734691803033,0.03518403947501603,0.10361126199433171,-0.012701723008992749,0.035587916147237,0.10288180057099486,-0.011382831079875755,0.03632167599547931,0.09978983637932362,-0.01829693986547043,0.02262331507032761,0.10004104715564635,-0.012509430323875081,0.03037637074824473,0.09722243162028793,-0.0125286158979111,0.03006003998457152,0.09703408487738718,collarbone,1
5,-0.015012444708452977,0.031030045242012028,0.10664233211667502,-0.009902806896092575,0.011410013120905366,0.1038348698776417,-0.014363415961342274,-0.04789597935412973,0.08216041979527242,-9.60994533374393e-05,-0.09741243425966972,0.08935162624265047,-0.009989951692851662,-0.08678329877759502,0.06426101001545446,-0.010599550728444151,0.01906851949919408,0.10663242125002198,-0.008550122846946229,0.025234801610714522,0.10692683290793825,-0.012943487994077518,0.02162262291334363,0.0968968211861817,-0.013063100057864888,0.029090123392915057,0.09777380604379135,-0.015899703726414832,0.025674155979804714,0.09645030038961674,-0.016750585629122183,0.02530468456563084,0.09722590026016252,-0.014342618199157775,0.03444538158322474,0.10436766398208748,-0.013268143880241445,0.03487928329463974,0.10348886342137233,-0.01168382169476001,0.03600413321053153,0.10010839623115571,-0.018336143001205785,0.022475516375814575,0.09933178816173685,-0.012006299288289113,0.03161159765335331,0.09750841851835923,-0.012462413339617173,0.030146253326197137,0.09705855490918991,collarbone,1
6,-0.015206971249620449,0.03090684694742979,0.10661255734459754,-0.009902806896092575,0.011410013120905366,0.1038348698776417,-0.013936814521162355,-0.0479498384946246,0.08195824618431885,-0.00018988465075953087,-0.09746533337272834,0.08935381623690314,-0.009777889605305567,-0.08677360673168187,0.06427625919156955,-0.008991279800213262,0.01575098543903808,0.1069068857431183,-0.010511598904317188,0.025830841486005854,0.10709170856046703,-0.01359161274119769,0.021023858778866922,0.09746991429540856,-0.012973038248103697,0.03008672221708708,0.09760672891069616,-0.01535553632638112,0.026208151696649473,0.09598534460657812,-0.016206744002492418,0.025582576954480296,0.09665848037376042,-0.015176879040035118,0.033775711057325686,0.10470051902181615,-0.01340700029791414,0.03495272803420213,0.1040712621595458,-0.011859144967698743,0.036154796361985486,0.10088573544901275,-0.01793443533831729,0.022718171661672837,0.09876128426441858,-0.012002906284451553,0.0322510775569016,0.0978600013843619,-0.012462413339617173,0.030146253326197137,0.09705855490918991,collarbone,1
7,-0.015081467683453975,0.03093686661124001,0.10660186646804909,-0.009585885761637436,0.011346076760469552,0.10382839632989486,-0.013936814521162355,-0.0479498384946246,0.08195824618431885,-0.00016161767493705348,-0.09746163366133065,0.08931769280861823,-0.010238283829997696,-0.08663918427938205,0.06433357933669838,-0.008039975932458573,0.012030232849862044,0.10707659203985137,-0.011709950014529347,0.02644459664599169,0.10699968775219047,-0.013786082185624826,0.02068748328267378,0.09800465840694444,-0.012407275757735661,0.031098654425034566,0.09775069997529029,-0.013372942717297831,0.02757797890807867,0.09640604325887933,-0.015399958530366353,0.026075956059373073,0.09608579952925594,-0.01546242163274203,0.03330788252234651,0.10492356428921804,-0.01377917222313857,0.034433466739024476,0.10474845587467062,-0.012284275990893878,0.03612653450554493,0.10166460440302928,-0.017218377421592823,0.023155307207935738,0.09790617318562359,-0.012414484250872548,0.03244938427729194,0.09777043798719287,-0.011884590141377549,0.0317020446197549,0.09759189933137055,collarbone,1
8,-0.015068890072550523,0.03100221989870522,0.10664400318042047,-0.009847630871559487,0.01133508993990024,0.10381464458720041,-0.014406216517010018,-0.04791149588443536,0.08210966308520395,-0.00016161767493705348,-0.09746163366133065,0.08931769280861823,-0.010022757959132433,-0.08657668497099094,0.06427795679813969,-0.007301026209423397,0.008722863354670651,0.10739760972687529,-0.013584256899946912,0.027146629856968446,0.10732029797690187,-0.015568225573759364,0.020745524799307496,0.09943602594952208,-0.012956747234594473,0.03220006936391806,0.09838769654160659,-0.013211598225073007,0.02797790778120035,0.09673029057852833,-0.013616230796981293,0.027475627672674086,0.09616793908785518,-0.015994213488088715,0.03265334295658018,0.10527250497035644,-0.014356878022630581,0.03397209392906708,0.10516443582719487,-0.01244148127439526,0.03606875415497579,0.10244958698971462,-0.01628077326926325,0.023697836631399294,0.09740862341308026,-0.012663954796256482,0.03335453446850034,0.09818658375888217,-0.012193871011078272,0.03192238975539052,0.09756340304685834,collarbone,1
